Code,Area,Date,Municipality,Use,Stratum,Consumption
0MRMAGR1,R,2013-05-31,MAGUI,Residential Sub,1,38679.17
0MUMAGR1,U,2015-01-31,MAGUI,Residential Sub,1,38851.55
0MUMAGR1,U,2012-04-30,MAGUI,Residential Sub,1,38865.178
0MRMAGR1,R,2011-12-31,MAGUI,Residential Sub,1,39047.059
8UBARC0,U,2013-03-31,BARBACOAS,Commercial,0,39073.252
0MRMAGR1,R,2014-12-31,MAGUI,Residential Sub,1,39160.087
0RUROBR1,U,2014-04-30,ROBERTO PAYAN,Residential Sub,1,39204.441
0MRMAGR1,R,2012-04-30,MAGUI,Residential Sub,1,39289.484
8RBARR1,R,2016-02-29,BARBACOAS,Residential,1,39344.467
8RBARR1,R,2016-04-30,BARBACOAS,Residential,1,39610.642
0RUROBR1,U,2013-05-31,ROBERTO PAYAN,Residential Sub,1,39633.341
0RUROBR1,U,2014-06-30,ROBERTO PAYAN,Residential Sub,1,39680.141
0MUMAGR1,U,2012-09-30,MAGUI,Residential Sub,1,39909.418
8UBARR2,U,2013-12-31,BARBACOAS,Residential,2,40027.356
0RUROBR1,U,2015-01-31,ROBERTO PAYAN,Residential Sub,1,40032.219
0RUROBR1,U,2016-02-29,ROBERTO PAYAN,Residential Sub,1,40163.613
0RUROBR1,U,2012-07-31,ROBERTO PAYAN,Residential Sub,1,40224.943
C0UELR1,U,2011-02-28,EL ROSARIO,Residential,1,40254.308
0MRMAGR1,R,2014-11-30,MAGUI,Residential Sub,1,40378.667
0MUMAGR1,U,2012-01-31,MAGUI,Residential Sub,1,40492.636
8RBARR1,R,2015-07-31,BARBACOAS,Residential,1,40996.345
C0UELR1,U,2010-12-31,EL ROSARIO,Residential,1,41184.79
0MRMAGR1,R,2012-09-30,MAGUI,Residential Sub,1,41251.223
0MRMAGR1,R,2015-01-31,MAGUI,Residential Sub,1,41379.528
C0UELR1,U,2011-04-30,EL ROSARIO,Residential,1,41408.663
8UBARC0,U,2013-12-31,BARBACOAS,Commercial,0,41541.495
0RUROBR1,U,2014-10-31,ROBERTO PAYAN,Residential Sub,1,41704.058
