Code,Area,Date,Municipality,Use,Stratum,Consumption
C0UPOLR1,U,2014-03-31,POLICARPA,Residential,1,72598.204
C4RLEIR1,R,2015-06-30,LEIVA,Residential,1,72691.023
C0UPOLR1,U,2012-08-31,POLICARPA,Residential,1,72854.742
8UBARC0,U,2013-01-31,BARBACOAS,Commercial,0,72863.744
C4RLEIR1,R,2015-11-30,LEIVA,Residential,1,72870.854
C4RLEIR1,R,2014-11-30,LEIVA,Residential,1,72886.87
C4RLEIR1,R,2012-05-31,LEIVA,Residential,1,73130.176
C0UPOLR1,U,2012-06-30,POLICARPA,Residential,1,73134.163
8UBARR1,U,2015-12-31,BARBACOAS,Residential Sub,1,73199.554
0MUMAGR1,U,2016-01-31,MAGUI,Residential Sub,1,73402.847
C0UPOLR1,U,2014-08-31,POLICARPA,Residential,1,73944.138
C0UPOLR1,U,2013-11-30,POLICARPA,Residential,1,74054.83
C0UPOLR1,U,2014-05-31,POLICARPA,Residential,1,74127.973
C0UPOLR1,U,2013-04-30,POLICARPA,Residential,1,74227.283
C0UPOLR1,U,2012-03-31,POLICARPA,Residential,1,74342.467
C0UPOLR1,U,2013-05-31,POLICARPA,Residential,1,74360.377
C4RLEIR1,R,2011-12-31,LEIVA,Residential,1,74484.643
C0UPOLR1,U,2012-09-30,POLICARPA,Residential,1,74530.776
C4RLEIR1,R,2011-05-31,LEIVA,Residential,1,75284.22
C0UPOLR1,U,2013-08-31,POLICARPA,Residential,1,75756.848
8RBARR1,R,2014-12-31,BARBACOAS,Residential,1,75844.149
